foret,numero,code_essence,zone_h,x,y,lng,dm,lac
14260,197,991,30N,363910,695808,1080,58,O
14260,198,35,30N,363871,695754,1160,57,O
14260,199,19,30N,363878,695748,1450,80,O
14260,200,19,30N,363879,695721,1330,76,O
14260,201,19,30N,362650,695720,940,100,O
14260,202,19,30N,363859,695716,1030,120,O
14260,203,19,30N,363922,695695,1350,65,O
14260,204,55,30N,362694,695695,1300,57,O
14260,205,19,30N,363976,695692,1340,80,O
14260,206,24,30N,362690,695688,1480,50,O
14260,207,19,30N,363854,695687,1330,85,O
14260,208,19,30N,362710,695685,1250,100,O
14260,209,19,30N,362686,695685,1320,95,O
14260,210,19,30N,362780,695675,1280,96,O
14260,211,19,30N,362620,695660,1190,115,O
14260,212,19,30N,362680,695645,900,104,O
14260,213,23,30N,362675,695640,1500,67,O
14260,214,19,30N,363725,695625,1160,115,O
14260,215,33,30N,363730,695620,1300,57,O
14260,216,44,30N,363720,695615,1040,63,O
14260,217,991,30N,363750,695610,1470,60,O
14260,218,19,30N,363710,695600,940,120,O
14260,219,19,30N,363810,695590,1430,79,O
14260,220,24,30N,363680,695590,1240,70,O
14260,221,19,30N,362615,695590,1150,90,O
14260,222,19,30N,362821,695585,1400,76,O
14260,223,965,30N,362605,695575,1500,57,O
14260,224,991,30N,363740,695570,1400,57,O
14260,225,19,30N,362625,695566,1400,76,O
14260,226,991,30N,362550,695564,1480,70,O
14260,227,19,30N,362610,695560,1300,76,O
14260,228,33,30N,362600,695550,900,115,O
14260,229,19,30N,362589,695533,1200,115,O
14260,230,19,30N,362707,695520,1130,92,O
14260,231,19,30N,362690,695490,1400,76,O
14260,232,33,30N,363670,695475,1030,57,O
14260,233,19,30N,362715,695470,1390,62,O
14260,234,19,30N,362489,695421,1290,76,O
14260,235,19,30N,362480,695417,1250,90,O
14260,236,24,30N,362477,695411,1500,50,O
14260,237,19,30N,362686,695399,1430,82,O
14260,238,35,30N,363850,695231,1300,50,O
14260,239,985,30N,363845,695229,1160,50,O
14260,240,985,30N,363580,695210,1500,73,O
14260,241,19,30N,362092,694855,800,84,
14260,242,35,30N,363510,694787,1200,57,O
14260,243,19,30N,362167,694784,1200,105,O
14260,244,23,30N,363085,694776,970,68,O
14260,245,995,30N,363160,694752,1100,100,O
14260,246,44,30N,363470,694662,1500,65,O
14260,247,19,30N,363453,694650,980,105,O
14260,248,19,30N,363460,694636,940,90,O
14260,249,19,30N,363510,694615,1200,88,O
14260,250,19,30N,363500,694610,1180,115,O
14260,251,19,30N,363640,694530,860,85,O
14260,252,19,30N,363665,694525,1350,75,O
14260,253,19,30N,362582,694522,1300,88,O
14260,254,19,30N,363630,694520,1220,90,O
14260,255,19,30N,363625,694520,1330,90,O
14260,256,19,30N,363610,694516,1080,76,O
14260,257,19,30N,363620,694510,1200,68,O
14260,258,19,30N,362603,694509,1100,85,O
14260,259,19,30N,363570,694499,1000,120,O
14260,260,19,30N,362671,694493,1230,115,O
14260,261,19,30N,363590,694488,1300,74,O
14260,262,19,30N,362657,694471,1200,60,O
14260,263,19,30N,363560,694420,900,120,O
14260,264,24,30N,363064,694215,1100,55,O
14260,265,19,30N,363169,694197,1150,105,O
14260,266,19,30N,363170,694196,1500,76,O
14260,267,24,30N,363161,694196,1370,77,O
14260,268,991,30N,363065,694179,1200,90,O
14260,269,19,30N,363157,694169,1500,85,O
14260,270,969,30N,363175,694166,1370,67,O
14260,271,19,30N,363006,694162,1200,59,O
14260,272,991,30N,363062,694156,1400,60,O
14260,273,19,30N,363540,694155,1350,96,O
14260,274,24,30N,363056,694153,1240,50,O
14260,275,969,30N,363163,694152,1400,60,O
14260,276,24,30N,363168,694149,1350,50,O
14260,277,19,30N,363154,694148,1150,110,O
14260,278,ORA,30N,363180,694139,800,50,O
14260,279,19,30N,363160,694138,1500,76,O
14260,280,19,30N,363138,694129,1050,105,O
14260,281,23,30N,363788,694125,1350,67,O
14260,282,995,30N,363160,694122,1000,80,O
14260,283,969,30N,363044,694115,1500,67,O
14260,284,23,30N,363781,694085,900,50,O
14260,285,24,29N,363026,694083,1100,50,O
14260,286,24,30N,363043,694076,1300,68,O
14260,287,24,30N,363085,694073,1500,50,O
14260,288,19,30N,362097,694040,1300,80,
14260,289,19,30N,362093,694038,1400,76,
14260,290,19,30N,362078,694026,1150,105,
14260,291,19,30N,362112,694020,850,85,
14260,292,19,30N,362125,694018,1300,76,O
14260,293,19,30N,362103,694002,600,76,
14260,294,23,30N,363751,693996,1120,90,O
14260,295,23,30N,363749,693992,1320,60,O
14260,296,19,30N,362565,693990,1050,66,O
14260,297,19,30N,362560,693985,1040,130,O
14260,298,991,30N,362541,693980,1170,100,O
14260,299,19,30N,363533,693977,1060,115,O
14260,300,19,30N,363033,693975,1070,67,O
14260,301,991,30N,362538,693974,1000,65,O
14260,302,19,30N,363545,693970,1390,65,O
14260,303,24,30N,362536,693970,1270,54,O
14260,304,23,30N,363838,693960,1440,90,O
14260,305,24,30N,362518,693960,1500,65,O
14260,306,23,30N,363816,693955,1310,67,O
14260,307,24,30N,362510,693950,1200,50,O
14260,308,23,30N,363610,693936,1490,67,O
14260,309,23,30N,363600,693925,1320,67,O
14260,310,23,30N,363801,693911,1370,88,O
14260,311,23,30N,363599,693902,1200,60,O
14260,312,995,30N,363662,693899,500,60,O
14260,313,19,30N,363540,693890,1400,90,O
14260,314,19,30N,361942,693884,1500,76,
14260,315,19,30N,361948,693864,1350,82,
14260,316,23,30N,363714,693859,1220,100,O
14260,317,23,30N,362511,693855,1440,67,O
14260,318,19,30N,362069,693846,1200,76,
14260,319,23,30N,362495,693844,1220,67,O
14260,320,23,30N,363353,693841,1320,68,O
14260,321,23,30N,363635,693835,1230,67,O
14260,322,19,30N,361969,693824,1280,90,
14260,323,23,30N,363618,693820,1090,90,O
14260,324,23,30N,363612,693820,1500,67,O
14260,325,23,30N,363327,693803,920,57,O
14260,326,19,30N,362118,693783,1010,115,
14260,327,19,30N,362091,693777,1050,125,
14260,328,23,30N,362765,693766,1200,50,O
14260,329,995,30N,363353,693729,1400,70,O
14260,330,23,30N,362632,693725,1400,69,O
14260,331,19,30N,362104,693724,1290,76,
14260,332,23,30N,362626,693719,1500,60,O
14260,333,23,30N,363358,693706,1400,67,O
14260,334,23,30N,362630,693688,1370,67,O
14260,335,995,30N,363636,693681,1400,70,O
14260,336,23,30N,362645,693635,1270,67,O
14260,337,23,30N,363120,693633,1350,60,O
14260,338,23,30N,363140,693570,1500,67,O
14260,339,995,30N,362560,693570,1400,58,O
14260,340,19,30N,362555,693566,1020,110,O
14260,341,23,30N,363045,693563,1200,50,O
14260,342,19,30N,362545,693550,1370,77,O
14260,343,23,30N,362440,693547,1400,67,O
14260,344,24,30N,362576,693544,1480,55,O
14260,345,23,30N,362420,693540,1480,67,O
14260,346,44,30N,362564,693538,1480,57,O
14260,347,44,30N,362570,693535,1100,74,O
14260,348,24,30N,362574,693532,1290,60,O
14260,349,23,30N,362475,693517,1490,90,O
14260,350,23,30N,362105,693508,1270,67,
14260,351,23,30N,362107,693480,1500,67,
14260,352,23,30N,362469,693474,1140,100,O
14260,353,23,30N,362185,693459,1100,67,O
14260,354,23,30N,362489,693432,1440,67,O
